# Provenance des images des grilles azygos. Généré par scripts/azygos/build_manifest.py — ne pas éditer à la main.
# nom_depot	sha256	octets	dimensions	source
azygos-35-ictere-scleral.jpg	cd22112624ba02e26462254b4d14b569a2ad68ffe062a94e4ae75e1d8abc9023	86991	900x900	https://afjxmktnffttfjmbiceq.supabase.co/storage/v1/object/sign/case-media/neonatale-hautveranderung-sklerenikterus.webp
azygos-38-ct-cerebral.jpg	4f928ec427f6af8a9f9a9f1e70fbc17b1fd0970e7e0fbe2fe59d7f88fbf3e682	66726	900x526	https://afjxmktnffttfjmbiceq.supabase.co/storage/v1/object/sign/case-media/bewusstlosigkeit-ct-schadel.webp
azygos-40-ecg.jpg	002aa3ce7a83e408ea903c8f9d7d68a7332de11541c257d9c7fcc518d6ea3c15	75916	900x418	https://afjxmktnffttfjmbiceq.supabase.co/storage/v1/object/sign/case-media/sehverlust-ekg.webp
azygos-40-fundoscopie.jpg	685897c43f0d6fc994d1af845bc6f2755c51bc97b77acb07610c4aadee44c209	53148	900x902	https://afjxmktnffttfjmbiceq.supabase.co/storage/v1/object/sign/case-media/sehverlust-fundoskopie.webp
azygos-41-observation-cutanee-et-de-la-plaie.jpg	a1752ca5506f53322bfa02c99d1ae145a768883094e2b6390fa32652aaf3bfa0	181671	900x779	https://afjxmktnffttfjmbiceq.supabase.co/storage/v1/object/sign/case-media/chronische-wunde-am-unterschenkel-haut-und-wundbefund.webp
azygos-46-ecg-12-derivations.jpg	d58010492a7008f32b7bda649e2952561a306b106659a85eabdd05d2721f4260	98432	900x500	https://afjxmktnffttfjmbiceq.supabase.co/storage/v1/object/sign/case-media/ohnmacht-12-kanal-ekg.webp
azygos-47-ecg.jpg	0fe479c5ea57713386e7118899904b0f2546f2cd1958227b474faa18c3b95c7a	74969	900x655	https://afjxmktnffttfjmbiceq.supabase.co/storage/v1/object/sign/case-media/husten-ekg.webp
azygos-47-radiographie.jpg	26b75fbd60fe1d9bcbbdeb94fedf962d5e9bd8cae7fa3c1d498bb4e37b058491	62044	900x888	https://afjxmktnffttfjmbiceq.supabase.co/storage/v1/object/sign/case-media/husten-rontgen.webp
azygos-48-fond-d-il-droit.jpg	f9f38e33be2022c13c6832e1081c9fd115c0c335b623ab0c8298ac30f356ab33	55685	900x795	https://afjxmktnffttfjmbiceq.supabase.co/storage/v1/object/sign/case-media/sehstorung-fundoskopie-rechts.webp
azygos-48-fond-d-il-gauche.jpg	2727a9cf6984598aec286e8db6bb509e0feca411020035bb82fa948a5eb74d40	46526	900x783	https://afjxmktnffttfjmbiceq.supabase.co/storage/v1/object/sign/case-media/sehstorung-fundoskopie-links.webp
